PolicyID,PolicyCode,PolicyInceptionDate,CancelationDate,PolicyStartDate,PolicyExpirationDate,RenewalMonth,AnnualizedPolicyPremium,PolicyStatus,CustomerID,InsuredID,ProductID,BrokerID
59918,Pol-59918,4/10/2012,,4/3/2020,12/31/2099,4,838.29,Active,864115,864114,58,2230
69698,Pol-69698,4/1/2013,,4/1/2020,12/31/2099,4,301.43,Active,74551,74551,56,8356
69726,Pol-69726,4/1/2013,,4/1/2020,12/31/2099,4,795.46,Active,293712,293712,58,10116
69738,Pol-69738,4/1/2013,,4/1/2020,12/31/2099,4,1194.78,Active,752230,752230,58,2172
70254,Pol-70254,5/13/2008,5/17/2019,5/13/2008,12/31/2099,5,530.38,Cancelled,341494,485601,29,2007
70315,Pol-70315,5/15/2008,,5/13/2008,12/31/2099,5,581.5,Active,868726,868726,58,12181
70383,Pol-70383,5/18/2010,,5/18/2010,12/31/2099,5,597.13,Active,130168,130168,58,542
70430,Pol-70430,5/18/2010,3/13/2020,5/18/2010,12/31/2099,5,1805.12,Cancelled,364413,364413,58,1115
70434,Pol-70434,5/18/2010,,5/18/2010,12/31/2099,5,573.75,Active,775097,775097,58,11942
70496,Pol-70496,5/18/2010,,5/18/2010,12/31/2099,5,1492.7,Active,439716,439716,58,11840
70583,Pol-70583,5/18/2010,,5/18/2010,12/31/2099,5,4069.7,Active,388289,388289,58,1342
70590,Pol-70590,5/18/2010,,5/18/2010,12/31/2099,5,2345.27,Active,176490,176490,58,9706
70659,Pol-70659,5/20/2010,,5/18/2010,12/31/2099,5,1600.31,Active,765518,765518,58,394
70671,Pol-70671,5/18/2010,,5/18/2010,12/31/2099,5,4780.53,Active,524786,524786,58,938
70673,Pol-70673,5/18/2010,,5/18/2010,12/31/2099,5,1332.72,Active,40720,663492,58,884
70874,Pol-70874,5/19/2010,,5/19/2010,12/31/2099,5,2513.27,Active,770607,770607,58,10016
72077,Pol-72077,5/26/2006,8/20/2019,5/26/2006,12/31/2099,5,97.45,Cancelled,579731,579731,46,2584
72405,Pol-72405,5/15/2008,,5/14/2008,12/31/2099,5,770.66,Active,540969,540969,58,7973
72409,Pol-72409,5/14/2008,,5/14/2008,12/31/2099,5,995.11,Active,220635,199113,29,11825
73333,Pol-73333,5/20/2010,,5/19/2010,12/31/2099,5,2632.77,Active,358747,358747,58,394
73349,Pol-73349,5/19/2010,,5/19/2010,12/31/2099,5,1257.7,Active,834397,834397,58,884
73358,Pol-73358,5/20/2010,,5/19/2010,12/31/2099,5,1022.01,Active,83777,83777,58,11972
73360,Pol-73360,5/19/2010,,5/19/2010,12/31/2099,5,2376.91,Active,528076,528076,58,2230
73507,Pol-73507,5/21/2010,,5/20/2010,12/31/2099,5,2853.58,Active,451203,451203,58,11972
73678,Pol-73678,5/20/2010,,5/20/2010,12/31/2099,5,1527.34,Active,877710,877710,58,2637
73681,Pol-73681,5/26/2010,,5/20/2010,12/31/2099,5,2286.01,Active,43341,43341,58,1866
75376,Pol-75376,6/6/2006,,6/5/2006,12/31/2099,6,1393.72,Active,255955,255955,58,2532
75425,Pol-75425,6/6/2006,,6/6/2006,12/31/2099,6,1886.93,Active,524220,524220,58,2537
75586,Pol-75586,6/6/2006,,6/6/2006,12/31/2099,6,1203.07,Active,874201,874201,58,2532
75807,Pol-75807,5/25/2010,,5/21/2010,12/31/2099,5,1668.83,Active,488410,488410,58,7671
75809,Pol-75809,5/21/2010,,5/21/2010,12/31/2099,5,2091.46,Active,642986,642986,58,1706
75876,Pol-75876,5/25/2010,,5/25/2010,12/31/2099,5,1526.01,Active,543863,543863,58,1115
75926,Pol-75926,5/25/2010,6/9/2017,5/25/2010,12/31/2099,5,1024.06,Cancelled,469395,469395,58,11971
75934,Pol-75934,5/25/2010,,5/25/2010,12/31/2099,5,1243.33,Active,801540,801540,58,11972
